Unnamed: 0,Unnamed: 0.1,ALAND,AWATER,BLKGRPCE,COUNTYFP,E11B19001e1,E11B19001e13,E11B19001e2,E11B19013e1,E11B19025e1,E11B19055e2,E11B19059e2,E12B19113e1,E12B20002e1,E12B20002e2,E12B20002e3,E13B19101e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE,H07B25003e2,H07B25003e3,H18B25081e1,H18B25081e2,H18B25081e4,H18B25081e5,H18B25081e6,H18B25081e7,H18B25081e8,H18B25082e1,H18B25082e2,H18B25082e3,D01B01001e1,D01B01001e2,D01B01001e26,D02B01002Ae1,D02B01002Be1,D02B01002Ce1,D02B01002De1,D02B01002Ee1,D02B01002Fe1,D02B01002Ge1,D02B01002He1,D02B01002Ie1,D02B01002e1,D02B01002e2,D02B01002e3,D03B02001e1,D03B02001e2,D03B02001e3,D03B02001e4,D03B02001e5,D03B02001e6,D03B02001e7,D03B02001e8,D04B02001e1,S01B11001e1,S02B09019e2,S07B15003e22,S08B21001e1,S08B21001e2,S19B28008e10,S19B28008e2,S19B28008e4,S19B28008e9,Voter_Turnout,D01B01001e7-10,D01B01001e11-14,D01B01001e15-19,D01B01001e20-22,D01B01001e23-25,D01B01001e31-34,D01B01001e35-38,D01B01001e39-43,D01B01001e44-46,D01B01001e47-49,S07B15003e15-17,S07B15003e18-21,S07B15003e23-25,E11B19001e3-5,E11B19001e6-10,E11B19001e11-12,E11B19001e14-15,E11B19001e16-17
40,40,416469,0,2,59,456,37,18,91250.0,67187100,162,74,152868.0,73447.0,84792.0,62794.0,347,S,60590638052,15000US060590638052,33.688946200000004,-117.9317405,G5030,Block Group 2,1264,6,603114.36328125,3471.8669992653804,63805,368,88,368,247,5,61,5,176,121,259600000.0,181950000.0,77650000.0,1326,627,699,47.0,,,41.5,,40.6,7.2,48.4,35.3,45.4,42.5,46.7,1326,1066,0,0,84,0,136,40,1326,456,1316,259,1033,106,15,1301,1208,93,86.8,54.0,94.0,216.0,28.0,64.0,55.0,156.0,226.0,52.0,88.0,169.0,247.0,189.0,64.0,38.0,74.0,31.0,194.0
41,41,387616,0,1,59,453,63,14,60125.0,41575900,65,48,74432.0,31404.0,30402.0,32162.0,259,S,60590638061,15000US060590638061,33.6840318,-117.92246770000001,G5030,Block Group 1,1265,6,561266.12109375,3255.3841990339397,63806,63,390,63,46,0,8,9,29,17,,,,1385,660,725,34.2,8.8,,39.1,,35.9,6.5,34.9,31.1,34.2,36.2,26.6,1385,1024,100,0,45,12,119,85,1385,453,1385,170,960,58,29,1356,1150,82,78.6,48.0,228.0,194.0,0.0,18.0,22.0,289.0,131.0,0.0,30.0,155.0,287.0,121.0,40.0,128.0,79.0,63.0,66.0
42,42,441058,0,2,59,399,42,0,142740.0,57057800,116,49,142933.0,68214.0,71667.0,63833.0,297,S,60590638062,15000US060590638062,33.6832195,-117.92825049999999,G5030,Block Group 2,1266,6,638638.30078125,3971.7630326580897,63806,373,26,373,279,0,20,0,259,94,285435000.0,219720000.0,65715000.0,1182,679,503,43.4,,,45.0,,,21.2,44.3,37.3,42.1,35.9,46.3,1182,956,0,0,136,0,10,80,1182,399,1182,230,935,55,26,1156,1135,21,91.3,93.0,194.0,183.0,9.0,46.0,20.0,114.0,198.0,20.0,58.0,145.0,200.0,247.0,18.0,42.0,37.0,93.0,167.0
43,43,1365937,0,3,59,556,71,8,124500.0,113727000,270,157,155000.0,62500.0,94306.0,,420,S,60590638063,15000US060590638063,33.6799479,-117.9379014,G5030,Block Group 3,1267,6,1977681.91796875,6589.63398157803,63806,484,72,484,319,0,81,0,238,165,553669000.0,377499000.0,176170000.0,1364,717,647,51.7,,,46.5,,,13.5,52.8,43.5,51.3,50.4,53.1,1364,1216,0,0,52,0,21,75,1364,556,1345,526,1069,146,39,1306,1273,33,92.3,13.0,128.0,162.0,123.0,95.0,0.0,169.0,167.0,86.0,126.0,129.0,249.0,152.0,6.0,68.0,68.0,102.0,233.0
44,44,1923760,0,2,59,857,64,95,41094.0,54580600,217,118,52125.0,23764.0,16023.0,40234.0,519,S,60590638072,15000US060590638072,33.6637062,-117.9280572,G5030,Block Group 2,1268,6,2784290.09765625,6803.60986512647,63807,40,817,40,6,0,0,0,6,34,,,,2204,1110,1094,27.4,54.1,,45.0,,,20.2,40.8,20.0,29.1,27.4,33.9,2204,1526,166,0,325,0,57,130,2204,857,2136,195,1618,122,88,2048,1859,189,76.7,201.0,295.0,246.0,12.0,56.0,72.0,319.0,258.0,65.0,94.0,534.0,458.0,47.0,191.0,189.0,158.0,86.0,74.0
45,45,1142855,0,1,59,1873,381,120,95945.0,206421900,105,66,101887.0,63014.0,70824.0,57922.0,688,S,60590639071,15000US060590639071,33.690819299999994,-117.87742,G5030,Block Group 1,1269,6,1655099.4140625,5479.3759120256,63907,13,1860,13,13,0,0,0,13,0,,,,3383,1583,1800,32.5,36.2,,31.5,33.7,30.1,31.7,32.5,29.9,32.3,33.0,32.2,3383,1680,310,0,1057,50,179,107,3383,1873,3383,1419,3135,165,0,3383,3337,46,76.4,56.0,1120.0,174.0,105.0,0.0,219.0,1068.0,363.0,13.0,17.0,146.0,567.0,677.0,42.0,133.0,286.0,418.0,493.0
46,46,541192,0,1,59,364,6,21,67255.0,38039800,109,36,,52596.0,65387.0,,314,S,60590639081,15000US060590639081,33.685073100000004,-117.8910791,G5030,Block Group 1,1270,6,783660.58203125,4007.8363714870397,63908,320,44,320,202,0,0,0,202,118,214720000.0,135520000.0,79200000.0,1330,651,679,38.5,,,34.1,,17.9,15.8,56.0,17.8,35.7,34.3,41.0,1330,744,0,12,400,0,66,108,1330,364,1303,307,1005,57,23,1280,1198,82,82.7,139.0,181.0,130.0,32.0,34.0,25.0,176.0,131.0,90.0,67.0,194.0,210.0,116.0,41.0,20.0,113.0,30.0,133.0
47,47,560674,0,2,59,704,106,0,91439.0,67640600,62,25,90038.0,49286.0,74489.0,40089.0,339,S,60590639082,15000US060590639082,33.684963700000004,-117.87998710000001,G5030,Block Group 2,1271,6,811871.5078125,4017.30023068877,63908,328,376,328,301,6,0,0,295,27,194415000.0,175065000.0,19350000.0,1622,744,878,49.3,49.5,,52.3,,34.5,,47.2,52.5,49.4,50.1,49.2,1622,857,177,0,465,0,91,32,1622,704,1619,387,1460,35,0,1619,1514,105,79.4,47.0,218.0,264.0,118.0,52.0,93.0,185.0,396.0,27.0,60.0,237.0,420.0,102.0,23.0,144.0,93.0,195.0,143.0
48,48,3107345,0,2,59,986,80,132,92736.0,108161000,294,216,113606.0,61154.0,66250.0,56364.0,695,S,60590639072,15000US060590639072,33.6937673,-117.91593290000002,G5030,Block Group 2,1351,6,4500422.8203125,12677.4063692662,63907,626,360,626,401,0,44,15,342,225,451242000.0,278555000.0,172687000.0,2481,1105,1376,50.1,20.6,,34.1,52.7,,13.6,56.6,27.2,39.1,50.8,33.5,2481,1342,65,21,880,123,12,38,2481,986,2473,785,2049,120,59,2414,2335,79,81.3,91.0,330.0,399.0,150.0,65.0,68.0,390.0,367.0,137.0,52.0,113.0,502.0,394.0,76.0,52.0,201.0,149.0,296.0
49,49,1064491,0,3,59,701,60,15,122891.0,90545300,201,130,127843.0,46612.0,63233.0,37164.0,554,S,60590639073,15000US060590639073,33.6920135,-117.8933433,G5030,Block Group 3,1352,6,1541657.9375,6156.566551278829,63907,348,353,348,254,0,73,0,181,94,236758400.0,183350000.0,53408400.0,2126,1136,990,34.7,19.0,,42.5,,27.2,,40.9,28.9,35.4,37.0,35.1,2126,1548,147,0,330,0,87,14,2126,701,2109,397,1809,90,0,2109,2004,105,77.8,91.0,445.0,305.0,33.0,75.0,75.0,355.0,254.0,72.0,104.0,303.0,664.0,234.0,26.0,95.0,59.0,263.0,183.0
50,50,316364,0,3,59,550,149,43,92708.0,44748400,109,0,70958.0,44762.0,42560.0,50547.0,144,S,60590639083,15000US060590639083,33.6801072,-117.88886480000001,G5030,Block Group 3,1385,6,458049.66015625,2859.0375761980104,63908,64,486,64,64,0,0,0,64,0,24350000.0,24350000.0,,1226,544,682,34.5,,,61.5,,,,34.5,31.4,35.2,32.4,38.6,1226,992,96,0,70,0,29,39,1226,550,1226,252,1064,176,55,1171,1063,108,76.8,45.0,292.0,87.0,12.0,27.0,38.0,368.0,112.0,68.0,15.0,190.0,349.0,82.0,22.0,50.0,117.0,150.0,19.0
51,51,1821129,0,1,59,409,57,0,118295.0,51685700,159,103,122159.0,36620.0,52386.0,30170.0,323,S,60590639041,15000US060590639041,33.670126700000004,-117.9008298,G5030,Block Group 1,1402,6,2636137.046875,7445.25810494394,63904,317,92,317,233,0,45,0,188,84,216445000.0,163745000.0,52700000.0,1276,656,620,48.6,,,57.6,,32.7,13.0,49.6,32.4,47.4,44.2,48.7,1276,882,23,0,231,0,100,40,1276,409,1276,374,1061,27,28,1248,1196,52,73.9,105.0,124.0,204.0,71.0,26.0,90.0,70.0,240.0,44.0,92.0,110.0,249.0,99.0,20.0,52.0,56.0,107.0,117.0
52,52,11291839,145012,2,59,4546,411,717,85488.0,510803200,362,178,121917.0,56459.0,73008.0,50233.0,1507,S,60590626102,15000US060590626102,33.669190500000006,-117.8609131,G5030,Block Group 2,1505,6,16554744.488281302,17219.065752314,62610,575,3971,575,443,0,18,0,425,132,307260000.0,246410000.0,60850000.0,8429,4417,4012,34.7,49.4,,27.4,,34.0,32.1,36.1,32.9,32.4,32.2,32.7,8429,4903,300,0,2576,0,393,257,8429,4546,8429,3035,8148,74,132,8297,8023,274,76.7,931.0,2270.0,893.0,188.0,19.0,650.0,2050.0,730.0,268.0,149.0,690.0,1143.0,1626.0,188.0,697.0,449.0,823.0,1261.0
53,53,83621,0,3,59,317,57,39,44313.0,16329100,35,15,37333.0,23805.0,25720.0,22813.0,234,S,60590639043,15000US060590639043,33.6768292,-117.8989761,G5030,Block Group 3,1511,6,121063.14453125,1482.85519600455,63904,0,317,0,0,0,0,0,0,0,,,,1377,744,633,20.8,,59.8,25.9,11.5,29.6,,23.7,23.4,23.8,20.9,29.1,1377,997,0,25,139,28,147,41,1377,317,1377,97,993,12,28,1349,1158,96,84.3,178.0,194.0,87.0,14.0,0.0,148.0,207.0,130.0,35.0,0.0,172.0,120.0,23.0,39.0,86.0,74.0,22.0,0.0
54,54,270750,0,3,59,367,80,0,96750.0,38521500,28,28,97357.0,53801.0,52917.0,54191.0,132,S,60590633013,15000US060590633013,33.6337099,-117.9194814,G5030,Block Group 3,1532,6,391590.75,2647.342789031,63301,107,260,107,96,9,0,0,87,11,,,,671,308,363,36.7,,,23.5,,,,36.7,56.2,37.9,41.9,35.9,671,538,10,0,16,23,34,50,671,367,628,251,640,7,28,600,559,0,80.2,0.0,124.0,135.0,0.0,18.0,40.0,180.0,120.0,0.0,23.0,148.0,133.0,58.0,36.0,25.0,53.0,102.0,71.0
55,55,163251,0,2,59,376,35,7,34186.0,17457800,62,24,34185.0,21858.0,24122.0,13179.0,259,S,60590637012,15000US060590637012,33.6452131,-117.92984299999999,G5030,Block Group 2,1563,6,236173.6484375,1946.4104429880701,63701,28,348,28,18,0,0,0,18,10,,,,1375,745,630,37.3,,,,,25.2,,41.8,26.1,27.7,28.4,26.7,1375,533,0,0,20,20,802,0,1375,376,1300,60,988,32,139,1161,937,224,80.2,117.0,299.0,89.0,50.0,7.0,78.0,193.0,136.0,7.0,12.0,156.0,274.0,0.0,85.0,124.0,90.0,35.0,0.0
56,56,216124,0,5,59,321,62,0,65402.0,20918000,53,0,51333.0,27487.0,25878.0,46655.0,160,S,60590637025,15000US060590637025,33.6470989,-117.92046129999999,G5030,Block Group 5,1564,6,312682.125,2587.2706132222197,63702,46,275,46,21,0,0,0,21,25,,,,1140,770,370,33.6,,,23.9,,40.2,,33.4,38.0,34.1,38.1,27.5,1140,635,0,0,45,0,441,19,1140,321,1064,127,948,9,0,1064,885,179,73.2,114.0,493.0,38.0,53.0,0.0,20.0,187.0,43.0,0.0,0.0,297.0,161.0,60.0,25.0,92.0,67.0,75.0,0.0
57,57,344982,0,2,59,759,36,37,120436.0,91326300,100,151,124514.0,48909.0,42182.0,49334.0,431,S,60590631022,15000US060590631022,33.659271200000006,-117.895328,G5030,Block Group 2,1604,6,499245.81640625,3035.4136778238,63102,376,383,376,319,28,53,0,238,57,463660000.0,242360000.0,221300000.0,2265,835,1430,36.8,,7.4,55.9,,,32.3,37.6,35.6,36.5,40.2,34.6,2265,1954,4,57,52,0,26,172,2265,759,2197,397,1721,65,44,2153,2132,21,81.0,33.0,347.0,243.0,69.0,28.0,95.0,382.0,335.0,119.0,70.0,191.0,536.0,303.0,21.0,138.0,111.0,202.0,214.0
58,58,361410,0,1,59,666,0,120,,92368900,18,18,111771.0,53355.0,81389.0,31952.0,267,S,60590626101,15000US060590626101,33.676417,-117.84881010000001,G5030,Block Group 1,1675,6,523228.921875,2970.0816352091497,62610,343,323,343,180,0,0,0,180,163,278856900.0,132605900.0,146251000.0,1130,694,436,32.6,,,44.0,,,,32.1,36.7,35.7,36.6,34.1,1130,768,0,0,362,0,0,0,1130,666,1130,428,1048,0,45,1085,1071,14,77.9,89.0,278.0,207.0,38.0,0.0,53.0,267.0,116.0,0.0,0.0,92.0,186.0,174.0,19.0,128.0,77.0,95.0,227.0
59,59,1173861,9666,1,59,666,112,25,96417.0,80683700,179,148,96696.0,36905.0,43257.0,24402.0,393,S,60590636011,15000US060590636011,33.6484875,-117.9440313,G5030,Block Group 1,1722,6,1712314.1171875,7268.989400854109,63601,526,140,526,331,10,50,10,261,195,388090000.0,251090000.0,137000000.0,1905,897,1008,48.1,15.9,,37.6,,36.2,19.3,47.4,36.6,41.8,43.6,41.4,1905,1340,79,0,129,0,317,40,1905,666,1891,467,1530,74,9,1882,1815,67,74.5,82.0,229.0,272.0,100.0,62.0,79.0,291.0,273.0,64.0,78.0,177.0,360.0,226.0,47.0,68.0,105.0,129.0,180.0
60,60,411152,0,1,59,890,136,0,54362.0,68128700,86,31,50045.0,19493.0,22067.0,17721.0,848,S,60590638081,15000US060590638081,33.65676550000001,-117.92892930000001,G5030,Block Group 1,1723,6,594962.3203125,4350.21680313886,63808,126,764,126,88,0,0,0,88,38,,,,4083,2121,1962,28.3,,,54.5,19.4,25.0,25.5,42.2,26.3,27.4,28.2,26.7,4083,2264,0,17,91,127,1542,42,4083,890,4030,163,2855,83,374,3656,3241,415,70.75,368.0,712.0,430.0,67.0,8.0,252.0,607.0,311.0,73.0,27.0,788.0,330.0,60.0,172.0,183.0,264.0,87.0,48.0
61,61,324708,0,2,59,664,131,53,71607.0,51359400,131,82,79300.0,29079.0,35724.0,25933.0,390,S,60590638082,15000US060590638082,33.654331400000004,-117.9234419,G5030,Block Group 2,1724,6,469853.3671875,2912.03332017259,63808,318,346,318,196,0,13,0,183,122,152380000.0,109215000.0,43165000.0,1931,943,988,40.8,,20.7,30.5,,30.4,45.1,43.6,33.2,38.2,37.3,38.7,1931,1238,12,28,72,13,507,61,1931,664,1931,167,1561,58,41,1890,1720,170,70.75,129.0,334.0,222.0,57.0,20.0,98.0,351.0,245.0,70.0,35.0,363.0,454.0,70.0,81.0,66.0,142.0,129.0,62.0
62,62,946824,0,1,59,677,130,16,120208.0,88658800,168,107,135147.0,52396.0,65379.0,41496.0,562,S,60590639021,15000US060590639021,33.6840828,-117.91382409999999,G5030,Block Group 1,1725,6,1370998.1796875,4821.016662787321,63902,559,118,559,515,0,60,10,445,44,,,,2231,1044,1187,38.6,,,26.0,,59.4,59.5,39.2,59.3,35.8,37.5,35.5,2231,1512,0,0,572,0,89,58,2231,677,2219,429,1654,76,62,2157,2157,0,81.0,25.0,418.0,224.0,91.0,20.0,48.0,363.0,304.0,53.0,108.0,327.0,615.0,181.0,34.0,106.0,33.0,106.0,252.0
63,63,203799,0,2,59,762,138,63,52353.0,44644900,56,0,44152.0,35035.0,27328.0,36944.0,357,S,60590639022,15000US060590639022,33.6756026,-117.9169344,G5030,Block Group 2,1726,6,295042.26953125,2146.97082461495,63902,14,748,14,14,0,14,0,0,0,,,,1571,692,879,28.0,26.9,,27.1,,29.7,,27.9,29.5,27.9,28.3,27.7,1571,1230,65,0,164,0,101,11,1571,762,1571,426,1452,102,31,1540,1508,32,63.9,159.0,378.0,101.0,13.0,15.0,120.0,499.0,151.0,0.0,16.0,97.0,431.0,173.0,84.0,202.0,196.0,67.0,12.0
64,64,775763,0,1,59,541,50,10,87543.0,48860300,116,80,72540.0,30662.0,32670.0,22396.0,453,S,60590639031,15000US060590639031,33.68004620000001,-117.89968710000001,G5030,Block Group 1,1727,6,1123196.64453125,5493.870159273761,63903,243,298,243,157,8,7,0,142,86,137515000.0,92590000.0,44925000.0,1988,938,1050,33.3,,,26.1,25.8,22.4,58.8,55.1,25.3,32.4,29.1,36.5,1988,1269,0,23,497,85,96,18,1988,541,1988,151,1505,59,77,1911,1888,23,81.6,125.0,296.0,208.0,40.0,35.0,132.0,259.0,272.0,70.0,68.0,394.0,437.0,90.0,35.0,138.0,73.0,157.0,78.0
65,65,604461,0,2,59,548,117,30,113864.0,77410300,147,88,130063.0,51875.0,62652.0,35921.0,399,S,60590639032,15000US060590639032,33.6848629,-117.9021898,G5030,Block Group 2,1728,6,875273.12890625,3991.9943753164202,63903,459,89,459,359,16,40,0,303,100,328848000.0,265308000.0,63540000.0,1989,1089,900,35.1,62.2,3.9,39.6,,42.3,53.8,34.9,36.0,35.6,33.6,39.6,1989,1638,39,66,197,0,34,15,1989,548,1869,272,1578,79,49,1820,1805,8,80.3,149.0,337.0,270.0,23.0,35.0,83.0,292.0,211.0,94.0,84.0,209.0,565.0,186.0,9.0,44.0,44.0,95.0,209.0
66,66,580268,0,2,59,561,110,7,78068.0,63384700,155,72,76172.0,26493.0,46042.0,16016.0,409,S,60590639042,15000US060590639042,33.674841,-117.89280790000001,G5030,Block Group 2,1729,6,840044.1953125,4231.021517198621,63904,420,141,420,336,6,34,0,296,84,282597000.0,220897000.0,61700000.0,2047,1018,1029,35.1,,,36.7,,37.4,22.7,49.6,23.4,35.3,36.1,35.0,2047,1555,27,0,243,22,73,127,2047,561,1904,311,1577,106,42,1862,1742,120,84.3,89.0,284.0,256.0,53.0,115.0,144.0,234.0,242.0,52.0,108.0,395.0,365.0,137.0,45.0,120.0,72.0,130.0,77.0
67,67,513888,0,1,59,532,104,12,103750.0,65804100,68,63,101042.0,41866.0,54107.0,38969.0,407,S,60590639051,15000US060590639051,33.6655703,-117.91391780000001,G5030,Block Group 1,1730,6,743790.3671875,3783.59543925742,63905,366,166,366,296,0,88,0,208,70,253469000.0,205139000.0,48330000.0,1520,724,796,41.5,27.9,,32.4,,,9.4,44.6,27.0,38.5,35.9,39.4,1520,1193,41,0,160,32,11,83,1520,532,1483,401,1295,65,30,1453,1443,10,84.9,71.0,269.0,248.0,18.0,25.0,92.0,250.0,226.0,91.0,35.0,259.0,385.0,90.0,0.0,92.0,52.0,126.0,146.0
68,68,295853,0,2,59,538,87,0,74947.0,46941100,40,0,73750.0,45391.0,53164.0,,210,S,60590639052,15000US060590639052,33.6594019,-117.917129,G5030,Block Group 2,1731,6,428150.640625,2969.1761250897803,63905,54,484,54,54,0,0,0,54,0,34300000.0,34300000.0,,1001,501,500,32.5,,,39.9,,40.5,,34.3,27.8,34.2,34.1,35.0,1001,859,0,0,41,0,51,50,1001,538,1001,288,952,81,24,977,895,82,73.7,74.0,281.0,87.0,11.0,21.0,86.0,196.0,177.0,12.0,7.0,158.0,283.0,42.0,67.0,84.0,119.0,148.0,33.0
69,69,325623,0,1,59,890,178,76,66563.0,74482000,113,16,69444.0,31485.0,31869.0,27336.0,470,S,60590639061,15000US060590639061,33.654047999999996,-117.91328329999999,G5030,Block Group 1,1732,6,471176.0703125,4130.307669091,63906,300,590,300,266,20,35,0,211,34,,,,2391,1405,986,31.8,,,41.1,,50.1,28.0,35.2,29.6,33.2,30.5,36.5,2391,1838,62,0,103,0,269,119,2391,890,2334,468,1988,104,98,2236,2120,32,70.6,85.0,700.0,258.0,57.0,9.0,22.0,470.0,328.0,26.0,33.0,361.0,680.0,159.0,25.0,228.0,140.0,146.0,97.0
70,70,111446,0,2,59,488,55,0,53357.0,29600200,51,33,53071.0,20943.0,32059.0,15673.0,254,S,60590639062,15000US060590639062,33.6553294,-117.91326000000001,G5030,Block Group 2,1733,6,161266.4453125,1817.26177064177,63906,162,326,162,9,0,0,0,9,153,,,,1410,587,823,27.7,24.3,,,,28.0,,29.1,27.9,29.5,40.9,27.2,1410,727,36,10,45,0,592,0,1410,488,1397,160,1103,35,16,1381,1125,256,70.6,105.0,190.0,165.0,16.0,2.0,92.0,301.0,194.0,0.0,38.0,369.0,175.0,34.0,100.0,87.0,158.0,70.0,18.0
71,71,625083,0,3,59,931,161,80,70795.0,71901100,121,119,60814.0,32212.0,31538.0,38636.0,586,S,60590639063,15000US060590639063,33.660136,-117.9041334,G5030,Block Group 3,1734,6,904613.71875,4487.18419549531,63906,296,635,296,221,32,18,0,171,75,130352000.0,96657000.0,33695000.0,2370,1070,1300,35.4,,,41.7,,30.8,18.6,36.2,31.0,31.9,32.6,31.1,2370,1565,13,0,95,79,434,184,2370,931,2120,566,2076,85,236,1884,1846,38,82.3,148.0,464.0,214.0,71.0,36.0,284.0,427.0,356.0,59.0,17.0,266.0,395.0,166.0,29.0,230.0,153.0,222.0,56.0
72,72,835355,0,3,59,474,54,68,44000.0,29781700,103,0,34792.0,23793.0,,21513.0,213,S,60590639023,15000US060590639023,33.6713146,-117.9129663,G5030,Block Group 3,1804,6,1209237.2265625,4531.54036539093,63902,0,474,0,0,0,0,0,0,0,,,,1240,692,548,32.0,17.5,,,,,,48.0,30.4,30.7,30.6,34.0,1240,1004,185,0,26,0,12,13,1240,474,1240,113,1053,123,52,1188,903,185,60.1,136.0,221.0,155.0,36.0,33.0,101.0,177.0,129.0,52.0,13.0,321.0,280.0,13.0,38.0,143.0,59.0,41.0,71.0
73,73,426535,0,4,59,632,133,13,79153.0,58369900,89,83,79389.0,34906.0,48671.0,22076.0,370,S,60590639024,15000US060590639024,33.678185299999996,-117.91291969999999,G5030,Block Group 4,1805,6,617534.546875,3772.65363544421,63902,20,612,20,20,0,20,0,0,0,,,,1625,928,697,34.5,,,27.3,,,27.7,34.4,31.6,31.0,29.1,31.8,1625,1320,34,0,154,0,33,84,1625,632,1625,196,1432,14,109,1516,1360,156,63.9,334.0,187.0,315.0,13.0,41.0,94.0,189.0,239.0,20.0,0.0,132.0,217.0,174.0,48.0,114.0,89.0,133.0,102.0
74,74,548656,0,3,59,613,55,18,90417.0,64527400,299,205,95750.0,53594.0,55950.0,49018.0,371,S,60590639053,15000US060590639053,33.6600313,-117.9114501,G5030,Block Group 3,1807,6,794013.859375,3692.445286882029,63905,414,199,414,327,10,53,0,264,87,298903000.0,226478000.0,72425000.0,1637,749,888,55.1,64.6,,64.2,,31.2,9.4,54.4,32.0,45.6,33.6,54.7,1637,1195,34,0,113,0,97,198,1637,613,1601,418,1346,68,151,1450,1337,113,83.5,69.0,213.0,155.0,116.0,63.0,42.0,188.0,240.0,82.0,178.0,190.0,393.0,146.0,51.0,146.0,78.0,93.0,172.0
75,75,485396,0,4,59,934,242,40,77321.0,75275100,0,0,53793.0,56108.0,56155.0,54250.0,206,S,60590639084,15000US060590639084,33.6788131,-117.883348,G5030,Block Group 4,1813,6,702767.89453125,3831.7959808264295,63908,12,922,12,12,0,0,0,12,0,,,,1475,887,588,31.1,,,35.3,,,,30.7,34.0,31.5,32.3,27.7,1475,1093,28,0,282,0,45,27,1475,934,1475,454,1377,60,0,1475,1390,0,76.8,19.0,665.0,175.0,0.0,0.0,95.0,395.0,28.0,0.0,0.0,156.0,495.0,149.0,54.0,80.0,267.0,229.0,22.0
