categories,fund_code,fund_code_descr,departments,organization,organization_descr,program_code,program_code_descr,account,account_descr,fiscal_year,adopted,amended,actual,fiscal_year_descr,row_id
Intergovernmental,101,General Fund,Fire,16200,Fire Suppression/MIC,71040,2014 UASI Grant,430199,Other Federal Grants,2016,0,0,1143.5,2015  -  2016,FY2016PRG71040FND101DEP16200ACC430199
Intergovernmental,101,General Fund,Police,15300,Police Field Operations,71041,2015 UASI Grant,430199,Other Federal Grants,2016,0,13637,0,2015  -  2016,FY2016PRG71041FND101DEP15300ACC430199
Intergovernmental,101,General Fund,Fire,16200,Fire Suppression/MIC,71041,2015 UASI Grant,430199,Other Federal Grants,2016,0,0,3251.9,2015  -  2016,FY2016PRG71041FND101DEP16200ACC430199
Intergovernmental,101,General Fund,Police,15100,Police Administration,71100,BSCC Local Assistance Fund,430299,Other State Grants,2016,0,56631,56630.36,2015  -  2016,FY2016PRG71100FND101DEP15100ACC430299
Fines & Forfeitures,101,General Fund,Police,15300,Police Field Operations,10111,Field Area Policing,420100,Municipal Code Violations,2017,80000,80000,49755.79,2016  -  2017,FY2017PRG10111FND101DEP15300ACC420100
Fines & Forfeitures,101,General Fund,Police,15300,Police Field Operations,10111,Field Area Policing,420120,Parking Citations,2017,0,0,10,2016  -  2017,FY2017PRG10111FND101DEP15300ACC420120
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10111,Field Area Policing,435270,Repossessed Veh. Release Fees,2017,3400,3400,3600,2016  -  2017,FY2017PRG10111FND101DEP15300ACC435270
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10111,Field Area Policing,435320,Police False Alarms,2017,200000,200000,227645.64,2016  -  2017,FY2017PRG10111FND101DEP15300ACC435320
Fines & Forfeitures,217,Narcotics Forfeiture Fund,Police,15300,Police Field Operations,10111,Field Area Policing,420170,Asset Forfeiture-County/Other,2017,0,0,477.24,2016  -  2017,FY2017PRG10111FND217DEP15300ACC420170
Fines & Forfeitures,101,General Fund,Police,15300,Police Field Operations,10113,Traffic Enforcement,420110,Vehicle Code Violations,2017,345000,345000,302004.26,2016  -  2017,FY2017PRG10113FND101DEP15300ACC420110
Fines & Forfeitures,101,General Fund,Police,15300,Police Field Operations,10113,Traffic Enforcement,420120,Parking Citations,2017,1050000,1050000,883922.01,2016  -  2017,FY2017PRG10113FND101DEP15300ACC420120
Fines & Forfeitures,101,General Fund,Police,15300,Police Field Operations,10113,Traffic Enforcement,420200,Red-Light Camera Violation,2017,0,0,21473.45,2016  -  2017,FY2017PRG10113FND101DEP15300ACC420200
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10113,Traffic Enforcement,435265,Vehicle Code Violation Fee,2017,3600,3600,3028,2016  -  2017,FY2017PRG10113FND101DEP15300ACC435265
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10113,Traffic Enforcement,435280,DUI Emergency Response,2017,6000,6000,504.71,2016  -  2017,FY2017PRG10113FND101DEP15300ACC435280
Fines & Forfeitures,101,General Fund,Police,15400,Police Support Services,10113,Traffic Enforcement,420120,Parking Citations,2017,0,0,-396,2016  -  2017,FY2017PRG10113FND101DEP15400ACC420120
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10114,Contract & Special Events,435250,Special Policing Fees,2017,500000,500000,462308.25,2016  -  2017,FY2017PRG10114FND101DEP15300ACC435250
Licenses & Permits,101,General Fund,Police,15400,Police Support Services,10131,Records/Information Systems,415120,Fire Permits,2017,0,0,0,2016  -  2017,FY2017PRG10131FND101DEP15400ACC415120
Charges for Service,101,General Fund,Police,15400,Police Support Services,10131,Records/Information Systems,435590,Police Reports,2017,26000,26000,31937,2016  -  2017,FY2017PRG10131FND101DEP15400ACC435590
Charges for Service,101,General Fund,Police,15400,Police Support Services,10131,Records/Information Systems,435610,Police Clearance Letters,2017,4300,4300,4410,2016  -  2017,FY2017PRG10131FND101DEP15400ACC435610
Intergovernmental,101,General Fund,Police,15300,Police Field Operations,10133,Training,430245,Peace Offcrs. Stand./Training,2017,21300,21300,12523.95,2016  -  2017,FY2017PRG10133FND101DEP15300ACC430245
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10133,Training,435999,Other Charges for Services,2017,0,0,1350,2016  -  2017,FY2017PRG10133FND101DEP16200ACC435999
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10134,Crime Prevention,435330,Fingerprinting,2017,60700,60700,55400.15,2016  -  2017,FY2017PRG10134FND101DEP15300ACC435330
Miscellaneous,101,General Fund,Police,15400,Police Support Services,10135,Youth Crime Intervention,455999,Other Reimbursements,2017,0,0,164930.75,2016  -  2017,FY2017PRG10135FND101DEP15400ACC455999
Charges for Service,101,General Fund,Police,15400,Police Support Services,10137,Jail,435290,Jail Booking Fees - City,2017,38000,38000,92240.62,2016  -  2017,FY2017PRG10137FND101DEP15400ACC435290
Licenses & Permits,101,General Fund,Police,15300,Police Field Operations,10139,Animal Control,415100,Dog Licenses,2017,98400,98400,96788.3,2016  -  2017,FY2017PRG10139FND101DEP15300ACC415100
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10143,Office Traffic Safty RAID Grnt,435260,Vehicle Storage/Impound Fees,2017,175822,175822,240825.17,2016  -  2017,FY2017PRG10143FND101DEP15300ACC435260
Intergovernmental,101,General Fund,Fire,16200,Fire Suppression/MIC,10210,Response and Control,430199,Other Federal Grants,2017,0,0,59529.63,2016  -  2017,FY2017PRG10210FND101DEP16200ACC430199
Intergovernmental,101,General Fund,Fire,16200,Fire Suppression/MIC,10210,Response and Control,430299,Other State Grants,2017,0,0,6182.11,2016  -  2017,FY2017PRG10210FND101DEP16200ACC430299
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10210,Response and Control,435365,Fire Cost Recovery,2017,7500,7500,-315.28,2016  -  2017,FY2017PRG10210FND101DEP16200ACC435365
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10210,Response and Control,435400,Fire False Alarms,2017,1400,1400,0,2016  -  2017,FY2017PRG10210FND101DEP16200ACC435400
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10210,Response and Control,435405,Accident Cost Recovery,2017,25800,25800,7153.71,2016  -  2017,FY2017PRG10210FND101DEP16200ACC435405
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10210,Response and Control,435520,Instructional Classes,2017,0,0,0,2016  -  2017,FY2017PRG10210FND101DEP16200ACC435520
Licenses & Permits,101,General Fund,Fire,16300,Community Risk Reduction,10220,Community Risk Reduction,415120,Fire Permits,2017,96300,96300,122951.4,2016  -  2017,FY2017PRG10220FND101DEP16300ACC415120
Charges for Service,101,General Fund,Fire,16300,Community Risk Reduction,10220,Community Risk Reduction,435370,Fire Inspections,2017,4590,4590,6760,2016  -  2017,FY2017PRG10220FND101DEP16300ACC435370
Charges for Service,101,General Fund,Fire,16300,Community Risk Reduction,10220,Community Risk Reduction,435375,Hazrdous Material Disclose Fee,2017,135275,135275,138482.75,2016  -  2017,FY2017PRG10220FND101DEP16300ACC435375
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10230,Emergency Medical Aid,435380,EMS - First Responder Fee,2017,264531,264531,240644.07,2016  -  2017,FY2017PRG10230FND101DEP16200ACC435380
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10230,Emergency Medical Aid,435390,Paramedic Fee - Advanced,2017,258000,258000,336045.82,2016  -  2017,FY2017PRG10230FND101DEP16200ACC435390
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10230,Emergency Medical Aid,435395,Medical Supply Reimbursement,2017,100000,100000,131043,2016  -  2017,FY2017PRG10230FND101DEP16200ACC435395
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10230,Emergency Medical Aid,435999,Other Charges for Services,2017,0,0,6297.76,2016  -  2017,FY2017PRG10230FND101DEP16200ACC435999
Miscellaneous,101,General Fund,Fire,16200,Fire Suppression/MIC,10230,Emergency Medical Aid,455999,Other Reimbursements,2017,0,0,210.96,2016  -  2017,FY2017PRG10230FND101DEP16200ACC455999
Miscellaneous,401,Capital Improvements Fund,Public Services,19200,Engineering,20110,Parkway and Median Landscaping,450100,Contributions,2017,0,0,39100,2016  -  2017,FY2017PRG20110FND401DEP19200ACC450100
Intergovernmental,401,Capital Improvements Fund,Public Services,19500,Maintenance Services,20111,Parkway and Median Maintenance,430499,Other Governmental Agencies,2017,0,0,44440.5,2016  -  2017,FY2017PRG20111FND401DEP19500ACC430499
Intergovernmental,101,General Fund,Public Services,19100,Public Services Administration,20230,Recycling,430281,Beverage Container Program,2017,0,0,57623,2016  -  2017,FY2017PRG20230FND101DEP19100ACC430281
Charges for Service,101,General Fund,Public Services,19100,Public Services Administration,20230,Recycling,435240,Source Reduction/Recycling,2017,16600,16600,12810,2016  -  2017,FY2017PRG20230FND101DEP19100ACC435240
Charges for Service,101,General Fund,Development Services,18200,Planning,20310,Advance Planning,435120,Environmental Impact Fees,2017,0,0,30000.2,2016  -  2017,FY2017PRG20310FND101DEP18200ACC435120
Charges for Service,101,General Fund,Development Services,18200,Planning,20320,Planning,435100,"Zoning, Variance & CUP Fees",2017,139713,139713,145792,2016  -  2017,FY2017PRG20320FND101DEP18200ACC435100
Charges for Service,101,General Fund,Development Services,18200,Planning,20320,Planning,435110,Subdivision Map Fees,2017,31878,31878,18785,2016  -  2017,FY2017PRG20320FND101DEP18200ACC435110
Charges for Service,101,General Fund,Development Services,18200,Planning,20320,Planning,435120,Environmental Impact Fees,2017,29000,29000,0,2016  -  2017,FY2017PRG20320FND101DEP18200ACC435120
Licenses & Permits,101,General Fund,Development Services,18300,Building Safety,20350,Code Enforcement,415220,Home Occupation Permits,2017,12000,12000,13935,2016  -  2017,FY2017PRG20350FND101DEP18300ACC415220
Fines & Forfeitures,101,General Fund,Development Services,18300,Building Safety,20350,Code Enforcement,420100,Municipal Code Violations,2017,0,0,-721.42,2016  -  2017,FY2017PRG20350FND101DEP18300ACC420100
Charges for Service,101,General Fund,Development Services,18300,Building Safety,20350,Code Enforcement,440200,Special Assessments,2017,2000,2000,0,2016  -  2017,FY2017PRG20350FND101DEP18300ACC440200
Miscellaneous,101,General Fund,Development Services,18300,Building Safety,20350,Code Enforcement,455999,Other Reimbursements,2017,0,0,19165.95,2016  -  2017,FY2017PRG20350FND101DEP18300ACC455999
Fines & Forfeitures,101,General Fund,Development Services,18400,Community Improvement,20350,Code Enforcement,420100,Municipal Code Violations,2017,0,0,211645.09,2016  -  2017,FY2017PRG20350FND101DEP18400ACC420100
Charges for Service,101,General Fund,Development Services,18400,Community Improvement,20350,Code Enforcement,440200,Special Assessments,2017,0,0,1633.68,2016  -  2017,FY2017PRG20350FND101DEP18400ACC440200
Miscellaneous,101,General Fund,Development Services,18400,Community Improvement,20350,Code Enforcement,455999,Other Reimbursements,2017,0,0,62132.47,2016  -  2017,FY2017PRG20350FND101DEP18400ACC455999
Licenses & Permits,415,"Measure M2"" Fund""",Development Services,18300,Building Safety,20350,Code Enforcement,415220,Home Occupation Permits,2017,0,0,0,2016  -  2017,FY2017PRG20350FND415DEP18300ACC415220
Licenses & Permits,101,General Fund,Development Services,18300,Building Safety,20410,Building Safety,415130,Building Permits,2017,1260000,1260000,1431354.58,2016  -  2017,FY2017PRG20410FND101DEP18300ACC415130
Licenses & Permits,101,General Fund,Development Services,18300,Building Safety,20410,Building Safety,415140,Electrical Permits,2017,187000,187000,193941.49,2016  -  2017,FY2017PRG20410FND101DEP18300ACC415140
Licenses & Permits,101,General Fund,Development Services,18300,Building Safety,20410,Building Safety,415150,Plumbing/Mechanical Permits,2017,217988,217988,254036.92,2016  -  2017,FY2017PRG20410FND101DEP18300ACC415150
Charges for Service,101,General Fund,Development Services,18300,Building Safety,20410,Building Safety,415160,Plan Check Fee,2017,410040,410040,424749.47,2016  -  2017,FY2017PRG20410FND101DEP18300ACC415160
Licenses & Permits,101,General Fund,Development Services,18400,Community Improvement,20415,Medical Marijuana,415215,Medical Marijuana Bus Permit,2017,0,0,43050,2016  -  2017,FY2017PRG20415FND101DEP18400ACC415215
Charges for Service,101,General Fund,Development Services,18400,Community Improvement,20415,Medical Marijuana,435255,Med Marijuana HdL Background,2017,0,0,900,2016  -  2017,FY2017PRG20415FND101DEP18400ACC435255
Miscellaneous,205,HOME Program Fund,Development Services,11320,HOME,20422,Single Family Housing Rehab.,420180,Lien/Loan Repayment,2017,0,0,41000,2016  -  2017,FY2017PRG20422FND205DEP11320ACC420180
Investment Income,205,HOME Program Fund,Development Services,11320,HOME,20422,Single Family Housing Rehab.,425100,Investment Earnings,2017,1000,1000,0,2016  -  2017,FY2017PRG20422FND205DEP11320ACC425100
Miscellaneous,207,CDBG Fund,Development Services,11310,Housing Administration,20422,Single Family Housing Rehab.,420180,Lien/Loan Repayment,2017,0,0,29000,2016  -  2017,FY2017PRG20422FND207DEP11310ACC420180
Miscellaneous,216,Rental Rehab Program Fund,Development Services,11320,HOME,20422,Single Family Housing Rehab.,420180,Lien/Loan Repayment,2017,0,0,40000,2016  -  2017,FY2017PRG20422FND216DEP11320ACC420180
Intergovernmental,207,CDBG Fund,Development Services,11310,Housing Administration,20427,CDBG Administration,430105,Community Dev. Block Grant,2017,1220347,1220347,488434.85,2016  -  2017,FY2017PRG20427FND207DEP11310ACC430105
Intergovernmental,205,HOME Program Fund,Development Services,11320,HOME,20440,HOME Program,430110,HOME Invest. Partnership Grant,2017,480017,480017,232746.28,2016  -  2017,FY2017PRG20440FND205DEP11320ACC430110
Intergovernmental,101,General Fund,Public Services,19200,Engineering,20510,Water Quality,430499,Other Governmental Agencies,2017,0,0,307.88,2016  -  2017,FY2017PRG20510FND101DEP19200ACC430499
Licenses & Permits,101,General Fund,Public Services,19500,Maintenance Services,30111,Street Maintenance,415170,Street Permits,2017,276545,276545,317585,2016  -  2017,FY2017PRG30111FND101DEP19500ACC415170
Intergovernmental,101,General Fund,Public Services,19500,Maintenance Services,30111,Street Maintenance,430200,State Government,2017,0,0,0,2016  -  2017,FY2017PRG30111FND101DEP19500ACC430200
Intergovernmental,101,General Fund,Public Services,19500,Maintenance Services,30111,Street Maintenance,430282,Mattress Recycling Council,2017,0,0,7720,2016  -  2017,FY2017PRG30111FND101DEP19500ACC430282
Charges for Service,101,General Fund,Public Services,19500,Maintenance Services,30111,Street Maintenance,435140,Vacation/Abandonment of R-O-W,2017,500,500,150,2016  -  2017,FY2017PRG30111FND101DEP19500ACC435140
Miscellaneous,101,General Fund,Public Services,19500,Maintenance Services,30111,Street Maintenance,455180,Construction Permit Insp. Fees,2017,0,0,61625,2016  -  2017,FY2017PRG30111FND101DEP19500ACC455180
Miscellaneous,101,General Fund,Public Services,19200,Engineering,30112,Street Improvements,455999,Other Reimbursements,2017,0,0,0,2016  -  2017,FY2017PRG30112FND101DEP19200ACC455999
Miscellaneous,201,Gas Tax Fund,Public Services,19200,Engineering,30112,Street Improvements,455999,Other Reimbursements,2017,0,0,109498.5,2016  -  2017,FY2017PRG30112FND201DEP19200ACC455999
Miscellaneous,201,Gas Tax Fund,Public Services,19300,Transportation Services,30112,Street Improvements,455999,Other Reimbursements,2017,0,0,-12000,2016  -  2017,FY2017PRG30112FND201DEP19300ACC455999
Licenses & Permits,209,Drainage Fees Fund,Public Services,19200,Engineering,30112,Street Improvements,435180,Drainage Assessment Fees,2017,400000,400000,549871.41,2016  -  2017,FY2017PRG30112FND209DEP19200ACC435180
Miscellaneous,209,Drainage Fees Fund,Public Services,19200,Engineering,30112,Street Improvements,455999,Other Reimbursements,2017,0,0,117373.24,2016  -  2017,FY2017PRG30112FND209DEP19200ACC455999
Licenses & Permits,214,Traffic Impact Fees Fund,Public Services,19200,Engineering,30112,Street Improvements,435210,Traffic Impact Fees,2017,150000,150000,111491,2016  -  2017,FY2017PRG30112FND214DEP19200ACC435210
Intergovernmental,401,Capital Improvements Fund,Public Services,19200,Engineering,30112,Street Improvements,430199,Other Federal Grants,2017,0,0,56780.55,2016  -  2017,FY2017PRG30112FND401DEP19200ACC430199
Intergovernmental,401,Capital Improvements Fund,Public Services,19300,Transportation Services,30112,Street Improvements,430199,Other Federal Grants,2017,0,0,52204.53,2016  -  2017,FY2017PRG30112FND401DEP19300ACC430199
Intergovernmental,415,"Measure M2"" Fund""",Public Services,19300,Transportation Services,30112,Street Improvements,430312,"Measure M2"" Regional Grant""",2017,0,0,0,2016  -  2017,FY2017PRG30112FND415DEP19300ACC430312
Intergovernmental,401,Capital Improvements Fund,Public Services,19200,Engineering,30122,Storm Drain Improvements,430299,Other State Grants,2017,0,0,1500000,2016  -  2017,FY2017PRG30122FND401DEP19200ACC430299
Intergovernmental,401,Capital Improvements Fund,Public Services,19200,Engineering,30122,Storm Drain Improvements,430499,Other Governmental Agencies,2017,0,1100000,1100000,2016  -  2017,FY2017PRG30122FND401DEP19200ACC430499
Intergovernmental,415,"Measure M2"" Fund""",Public Services,19200,Engineering,30122,Storm Drain Improvements,430312,"Measure M2"" Regional Grant""",2017,0,0,1457616.57,2016  -  2017,FY2017PRG30122FND415DEP19200ACC430312
Miscellaneous,101,General Fund,Public Services,19200,Engineering,30210,Traffic Planning,455999,Other Reimbursements,2017,0,0,1003.94,2016  -  2017,FY2017PRG30210FND101DEP19200ACC455999
Miscellaneous,201,Gas Tax Fund,Public Services,19300,Transportation Services,30210,Traffic Planning,455999,Other Reimbursements,2017,0,0,1838.93,2016  -  2017,FY2017PRG30210FND201DEP19300ACC455999
Intergovernmental,401,Capital Improvements Fund,Public Services,19300,Transportation Services,30210,Traffic Planning,430199,Other Federal Grants,2017,0,0,124687.48,2016  -  2017,FY2017PRG30210FND401DEP19300ACC430199
Intergovernmental,401,Capital Improvements Fund,Public Services,19300,Transportation Services,30210,Traffic Planning,430299,Other State Grants,2017,0,0,5030.06,2016  -  2017,FY2017PRG30210FND401DEP19300ACC430299
Intergovernmental,415,"Measure M2"" Fund""",Public Services,19300,Transportation Services,30210,Traffic Planning,430312,"Measure M2"" Regional Grant""",2017,0,571580,2428511.49,2016  -  2017,FY2017PRG30210FND415DEP19300ACC430312
Intergovernmental,415,"Measure M2"" Fund""",Public Services,19300,Transportation Services,30210,Traffic Planning,430325,OCTA Regional Grant,2017,0,0,0,2016  -  2017,FY2017PRG30210FND415DEP19300ACC430325
Miscellaneous,415,"Measure M2"" Fund""",Public Services,19300,Transportation Services,30210,Traffic Planning,455999,Other Reimbursements,2017,0,0,15931.23,2016  -  2017,FY2017PRG30210FND415DEP19300ACC455999
Rental,101,General Fund,Public Services,19300,Transportation Services,30241,Traffic Operations,445190,Bus Shelter Advertising,2017,85972,85972,120849.75,2016  -  2017,FY2017PRG30241FND101DEP19300ACC445190
Intergovernmental,401,Capital Improvements Fund,Public Services,19300,Transportation Services,30241,Traffic Operations,430199,Other Federal Grants,2017,63000,63000,0,2016  -  2017,FY2017PRG30241FND401DEP19300ACC430199
Intergovernmental,415,"Measure M2"" Fund""",Public Services,19300,Transportation Services,30241,Traffic Operations,430312,"Measure M2"" Regional Grant""",2017,0,0,373971.39,2016  -  2017,FY2017PRG30241FND415DEP19300ACC430312
Charges for Service,101,General Fund,Public Services,19500,Maintenance Services,40111,Park Maintenance,435440,Park Permits,2017,40755,40755,44935.67,2016  -  2017,FY2017PRG40111FND101DEP19500ACC435440
Miscellaneous,101,General Fund,Public Services,19500,Maintenance Services,40111,Park Maintenance,455999,Other Reimbursements,2017,0,0,80,2016  -  2017,FY2017PRG40111FND101DEP19500ACC455999
Miscellaneous,101,General Fund,Public Services,19500,Maintenance Services,40111,Park Maintenance,499999,Other,2017,0,0,-1.95,2016  -  2017,FY2017PRG40111FND101DEP19500ACC499999
Charges for Service,101,General Fund,Public Services,19500,Maintenance Services,40112,Park Development,435450,Park Improvements,2017,7294,7294,8178.96,2016  -  2017,FY2017PRG40112FND101DEP19500ACC435450
Licenses & Permits,208,Park Development Fees Fund,Public Services,19200,Engineering,40112,Park Development,435170,Park Development Fees,2017,1761117,1761117,1541038,2016  -  2017,FY2017PRG40112FND208DEP19200ACC435170
Rental,101,General Fund,Parks and Community Services,14300,Recreation Division,40121,Downtown Recreation Center,445110,"Downtown Community Center,Rent",2017,29000,29000,20557.94,2016  -  2017,FY2017PRG40121FND101DEP14300ACC445110
Rental,101,General Fund,Parks and Community Services,14300,Recreation Division,40122,Balearic Community Center,445120,"Balearic Community Center,Rent",2017,19000,19000,27427,2016  -  2017,FY2017PRG40122FND101DEP14300ACC445120
Rental,101,General Fund,Parks and Community Services,14300,Recreation Division,40123,Neighborhood Community Center,445130,"Neighborhood Comm Center, Rent",2017,111180,111180,31155.67,2016  -  2017,FY2017PRG40123FND101DEP14300ACC445130
Miscellaneous,101,General Fund,Parks and Community Services,14300,Recreation Division,40200,Community Programs,450200,Sponsorship,2017,0,0,0,2016  -  2017,FY2017PRG40200FND101DEP14300ACC450200
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40212,Aquatics,435470,Aquatics,2017,85000,85000,74483.94,2016  -  2017,FY2017PRG40212FND101DEP14300ACC435470
Rental,101,General Fund,Parks and Community Services,14300,Recreation Division,40213,Tennis,445160,"Tennis,Rental",2017,47607,47607,45624.36,2016  -  2017,FY2017PRG40213FND101DEP14300ACC445160
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40214,Adult Sports Basketball,435540,Basketball,2017,17500,17500,18470.23,2016  -  2017,FY2017PRG40214FND101DEP14300ACC435540
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40214,Adult Sports Basketball,435541,Adult Open Gym,2017,5000,5000,9048.52,2016  -  2017,FY2017PRG40214FND101DEP14300ACC435541
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40215,Adult Sports Softball,435550,Softball,2017,38000,38000,38016,2016  -  2017,FY2017PRG40215FND101DEP14300ACC435550
Rental,101,General Fund,Parks and Community Services,14300,Recreation Division,40216,Fields/Field Ambassadors,445150,Field Rental,2017,157500,157500,105535.1,2016  -  2017,FY2017PRG40216FND101DEP14300ACC445150
Miscellaneous,101,General Fund,Parks and Community Services,14300,Recreation Division,40216,Fields/Field Ambassadors,455999,Other Reimbursements,2017,0,0,842.08,2016  -  2017,FY2017PRG40216FND101DEP14300ACC455999
Rental,101,General Fund,Parks and Community Services,14300,Recreation Division,40217,Golf Course Management,445180,Golf Course Operations,2017,2215000,2215000,2108431.58,2016  -  2017,FY2017PRG40217FND101DEP14300ACC445180
Miscellaneous,101,General Fund,Parks and Community Services,14300,Recreation Division,40218,Youth Sports,450200,Sponsorship,2017,0,0,0,2016  -  2017,FY2017PRG40218FND101DEP14300ACC450200
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40222,Adult Sports Futsal,435555,Adult Futsal,2017,17500,17500,2327.32,2016  -  2017,FY2017PRG40222FND101DEP14300ACC435555
Intergovernmental,101,General Fund,Parks and Community Services,14300,Recreation Division,40231,Senior Center,430399,Other County Grants,2017,0,0,86439.17,2016  -  2017,FY2017PRG40231FND101DEP14300ACC430399
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40231,Senior Center,435520,Instructional Classes,2017,0,0,38248.5,2016  -  2017,FY2017PRG40231FND101DEP14300ACC435520
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40231,Senior Center,435575,Senior Center Charges,2017,20000,20000,16610.71,2016  -  2017,FY2017PRG40231FND101DEP14300ACC435575
Rental,101,General Fund,Parks and Community Services,14300,Recreation Division,40231,Senior Center,445135,"Senior Center, Rental",2017,105000,105000,97783.15,2016  -  2017,FY2017PRG40231FND101DEP14300ACC445135
Miscellaneous,101,General Fund,Parks and Community Services,14300,Recreation Division,40231,Senior Center,450300,Donations,2017,0,0,100000,2016  -  2017,FY2017PRG40231FND101DEP14300ACC450300
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40232,Day Camp,435480,Day Camp,2017,143210,143210,166191.55,2016  -  2017,FY2017PRG40232FND101DEP14300ACC435480
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40233,Playgrounds Program,435490,Playgrounds,2017,302560,302560,384777.29,2016  -  2017,FY2017PRG40233FND101DEP14300ACC435490
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40236,Teen Programs,435565,Teen Camp,2017,34000,34000,37728.77,2016  -  2017,FY2017PRG40236FND101DEP14300ACC435565
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40241,Early Childhood,435510,Early Childhood,2017,125000,125000,133441.11,2016  -  2017,FY2017PRG40241FND101DEP14300ACC435510
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40242,Adult Instructional Classes,435520,Instructional Classes,2017,465000,465000,77614.85,2016  -  2017,FY2017PRG40242FND101DEP14300ACC435520
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40243,Youth Instructional Classes,435520,Instructional Classes,2017,0,0,341348.53,2016  -  2017,FY2017PRG40243FND101DEP14300ACC435520
Miscellaneous,101,General Fund,Parks and Community Services,14300,Recreation Division,40243,Youth Instructional Classes,499999,Other,2017,0,0,1750,2016  -  2017,FY2017PRG40243FND101DEP14300ACC499999
Rental,101,General Fund,Parks and Community Services,14300,Recreation Division,40249,Community Gardens,445100,"Buildings/Grounds, Rental",2017,0,0,6251.35,2016  -  2017,FY2017PRG40249FND101DEP14300ACC445100
Intergovernmental,101,General Fund,Police,15400,Police Support Services,50001,Department Administration Prog,430199,Other Federal Grants,2017,500000,500000,0,2016  -  2017,FY2017PRG50001FND101DEP15400ACC430199
Miscellaneous,101,General Fund,City Council,10100,City Council Administration,50110,City Council,450200,Sponsorship,2017,0,0,56250,2016  -  2017,FY2017PRG50110FND101DEP10100ACC450200
Miscellaneous,101,General Fund,City Council,10100,City Council Administration,50110,City Council,450300,Donations,2017,0,50000,0,2016  -  2017,FY2017PRG50110FND101DEP10100ACC450300
Transfers In,101,General Fund,Non-Departmental,90000,Non-Departmental,50240,Non-Departmental,460100,Operating Transfers In,2017,0,0,470.85,2016  -  2017,FY2017PRG50240FND101DEP90000ACC460100
Miscellaneous,101,General Fund,Non-Departmental,90000,Non-Departmental,50240,Non-Departmental,465600,Nonoperating Income - Other,2017,0,0,649100,2016  -  2017,FY2017PRG50240FND101DEP90000ACC465600
Transfers In,213,Supp. Law Enforcement COP Fund,Non-Departmental,90000,Non-Departmental,50240,Non-Departmental,460100,Operating Transfers In,2017,0,0,117634.8,2016  -  2017,FY2017PRG50240FND213DEP90000ACC460100
Investment Income,216,Rental Rehab Program Fund,Non-Departmental,90000,Non-Departmental,50240,Non-Departmental,425100,Investment Earnings,2017,300,300,0,2016  -  2017,FY2017PRG50240FND216DEP90000ACC425100
Transfers In,401,Capital Improvements Fund,Non-Departmental,90000,Non-Departmental,50240,Non-Departmental,460100,Operating Transfers In,2017,7752242,12771395,12421395,2016  -  2017,FY2017PRG50240FND401DEP90000ACC460100
Transfers In,601,Equipment Replacement Fund,Non-Departmental,90000,Non-Departmental,50240,Non-Departmental,460100,Operating Transfers In,2017,0,1326000,1326000,2016  -  2017,FY2017PRG50240FND601DEP90000ACC460100
Transfers In,602,Self-Insurance Fund,Non-Departmental,90000,Non-Departmental,50240,Non-Departmental,460100,Operating Transfers In,2017,0,1000000,1000000,2016  -  2017,FY2017PRG50240FND602DEP90000ACC460100
Transfers In,603,IT Replacement Fund,Non-Departmental,90000,Non-Departmental,50240,Non-Departmental,460100,Operating Transfers In,2017,0,2600000,2600000,2016  -  2017,FY2017PRG50240FND603DEP90000ACC460100
Charges for Service,101,General Fund,City Manager,11200,City Clerk,50420,Public Records,435580,Photocopies,2017,3300,3300,3661.14,2016  -  2017,FY2017PRG50420FND101DEP11200ACC435580
