fiscal_year,adopted,amended,expended,categories,sub_categories,fund_code,departments,organization,organization_descr,program_code,account_groupings,account,fund_code_descr,program_code_descr,account_descr,fiscal_year_descr,row_id
2017,285,285,245,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40121,Salaries and Benefits,505500,General Fund,Downtown Recreation Center,Professional Development,2016  -  2017,FY2017PRG40121FND101DEP14300ACC505500
2017,1250,1250,2166.51,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40121,Maintenance and Operations,510100,General Fund,Downtown Recreation Center,Stationery and Office,2016  -  2017,FY2017PRG40121FND101DEP14300ACC510100
2017,200,200,39.99,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40121,Maintenance and Operations,510200,General Fund,Downtown Recreation Center,"Multi-Media, Promos, Subscrpt.",2016  -  2017,FY2017PRG40121FND101DEP14300ACC510200
2017,1250,1250,1290.43,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40121,Maintenance and Operations,510300,General Fund,Downtown Recreation Center,Small Tools and Equipment,2016  -  2017,FY2017PRG40121FND101DEP14300ACC510300
2017,1400,1400,628.74,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40121,Maintenance and Operations,510500,General Fund,Downtown Recreation Center,Safety and Health,2016  -  2017,FY2017PRG40121FND101DEP14300ACC510500
2017,500,500,24.78,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40121,Maintenance and Operations,510600,General Fund,Downtown Recreation Center,Maintenance and Construction,2016  -  2017,FY2017PRG40121FND101DEP14300ACC510600
2017,40000,40000,34925.85,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40121,Maintenance and Operations,515100,General Fund,Downtown Recreation Center,Electricity - Buildings & Fac.,2016  -  2017,FY2017PRG40121FND101DEP14300ACC515100
2017,10000,10000,9051.33,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40121,Maintenance and Operations,515400,General Fund,Downtown Recreation Center,Gas,2016  -  2017,FY2017PRG40121FND101DEP14300ACC515400
2017,3000,3000,3406.9,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40121,Maintenance and Operations,515500,General Fund,Downtown Recreation Center,Water - Domestic,2016  -  2017,FY2017PRG40121FND101DEP14300ACC515500
2017,45287,25998,25705.68,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40121,Maintenance and Operations,515800,General Fund,Downtown Recreation Center,Janitorial and Housekeeping,2016  -  2017,FY2017PRG40121FND101DEP14300ACC515800
2017,800,800,938.37,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40121,Maintenance and Operations,520400,General Fund,Downtown Recreation Center,Telephone/Radio/Communications,2016  -  2017,FY2017PRG40121FND101DEP14300ACC520400
2017,4300,4300,1284,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40121,Maintenance and Operations,525800,General Fund,Downtown Recreation Center,Other Equipment,2016  -  2017,FY2017PRG40121FND101DEP14300ACC525800
2017,860,860,1286.62,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40121,Maintenance and Operations,540700,General Fund,Downtown Recreation Center,Taxes and Assessments,2016  -  2017,FY2017PRG40121FND101DEP14300ACC540700
2017,0,750,742.27,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40121,Fixed Assets,590800,General Fund,Downtown Recreation Center,Other Equipment,2016  -  2017,FY2017PRG40121FND101DEP14300ACC590800
2017,29254,29254,32967.82,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Salaries and Benefits,501200,General Fund,Balearic Community Center,Regular Salaries - Non-Sworn,2016  -  2017,FY2017PRG40122FND101DEP14300ACC501200
2017,35151,35151,45730.14,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Salaries and Benefits,501300,General Fund,Balearic Community Center,Regular Salaries - Part-Time,2016  -  2017,FY2017PRG40122FND101DEP14300ACC501300
2017,0,0,535.04,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Salaries and Benefits,501400,General Fund,Balearic Community Center,Overtime,2016  -  2017,FY2017PRG40122FND101DEP14300ACC501400
2017,0,0,29.44,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Maintenance and Operations,540900,General Fund,Balearic Community Center,Other Costs,2016  -  2017,FY2017PRG40122FND101DEP14300ACC540900
2017,0,0,16.07,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Maintenance and Operations,540900,General Fund,Neighborhood Community Center,Other Costs,2016  -  2017,FY2017PRG40123FND101DEP14300ACC540900
2017,0,0,2.86,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Maintenance and Operations,540900,General Fund,Aquatics,Other Costs,2016  -  2017,FY2017PRG40212FND101DEP14300ACC540900
2017,0,0,213.47,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Salaries and Benefits,501700,General Fund,Balearic Community Center,Holiday Allowance,2016  -  2017,FY2017PRG40122FND101DEP14300ACC501700
2017,5514,5514,5704.29,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Salaries and Benefits,505100,General Fund,Balearic Community Center,Cafeteria Plan,2016  -  2017,FY2017PRG40122FND101DEP14300ACC505100
2017,424,424,656.22,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Salaries and Benefits,505200,General Fund,Balearic Community Center,Medicare,2016  -  2017,FY2017PRG40122FND101DEP14300ACC505200
2017,16185,16185,18383.79,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Salaries and Benefits,505300,General Fund,Balearic Community Center,Retirement,2016  -  2017,FY2017PRG40122FND101DEP14300ACC505300
2017,1660,960,750,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Salaries and Benefits,505500,General Fund,Balearic Community Center,Professional Development,2016  -  2017,FY2017PRG40122FND101DEP14300ACC505500
2017,0,0,54.18,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40233,Maintenance and Operations,540900,General Fund,Playgrounds Program,Other Costs,2016  -  2017,FY2017PRG40233FND101DEP14300ACC540900
2017,650,2600,2342.22,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Maintenance and Operations,510100,General Fund,Balearic Community Center,Stationery and Office,2016  -  2017,FY2017PRG40122FND101DEP14300ACC510100
2017,400,1100,1919.32,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Maintenance and Operations,510200,General Fund,Balearic Community Center,"Multi-Media, Promos, Subscrpt.",2016  -  2017,FY2017PRG40122FND101DEP14300ACC510200
2017,4000,4000,3058.18,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Maintenance and Operations,510300,General Fund,Balearic Community Center,Small Tools and Equipment,2016  -  2017,FY2017PRG40122FND101DEP14300ACC510300
2017,4000,4000,3155.94,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Maintenance and Operations,510600,General Fund,Balearic Community Center,Maintenance and Construction,2016  -  2017,FY2017PRG40122FND101DEP14300ACC510600
2017,3800,3800,4207.39,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Maintenance and Operations,515100,General Fund,Balearic Community Center,Electricity - Buildings & Fac.,2016  -  2017,FY2017PRG40122FND101DEP14300ACC515100
2017,3000,3000,2404.38,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Maintenance and Operations,515400,General Fund,Balearic Community Center,Gas,2016  -  2017,FY2017PRG40122FND101DEP14300ACC515400
2017,20431,20522,20158.68,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Maintenance and Operations,515800,General Fund,Balearic Community Center,Janitorial and Housekeeping,2016  -  2017,FY2017PRG40122FND101DEP14300ACC515800
2017,400,400,474.47,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Maintenance and Operations,520400,General Fund,Balearic Community Center,Telephone/Radio/Communications,2016  -  2017,FY2017PRG40122FND101DEP14300ACC520400
2017,600,600,318.78,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Maintenance and Operations,525700,General Fund,Balearic Community Center,Office Equipment,2016  -  2017,FY2017PRG40122FND101DEP14300ACC525700
2017,324,894,510,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Maintenance and Operations,525800,General Fund,Balearic Community Center,Other Equipment,2016  -  2017,FY2017PRG40122FND101DEP14300ACC525800
2017,0,0,825,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Maintenance and Operations,530800,General Fund,Balearic Community Center,Recreation,2016  -  2017,FY2017PRG40122FND101DEP14300ACC530800
2017,73345,73345,74041.56,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Maintenance and Operations,535400,General Fund,Balearic Community Center,External Rent,2016  -  2017,FY2017PRG40122FND101DEP14300ACC535400
2017,6836,6836,1947.02,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Maintenance and Operations,536100,General Fund,Balearic Community Center,Internal Rent - Maintenance,2016  -  2017,FY2017PRG40122FND101DEP14300ACC536100
2017,2200,2200,3502.98,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Maintenance and Operations,540700,General Fund,Balearic Community Center,Taxes and Assessments,2016  -  2017,FY2017PRG40122FND101DEP14300ACC540700
2017,0,0,619.4,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40122,Fixed Assets,590800,General Fund,Balearic Community Center,Other Equipment,2016  -  2017,FY2017PRG40122FND101DEP14300ACC590800
2017,34134,34134,16233.91,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Salaries and Benefits,501200,General Fund,Neighborhood Community Center,Regular Salaries - Non-Sworn,2016  -  2017,FY2017PRG40123FND101DEP14300ACC501200
2017,160391,160391,110619.44,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Salaries and Benefits,501300,General Fund,Neighborhood Community Center,Regular Salaries - Part-Time,2016  -  2017,FY2017PRG40123FND101DEP14300ACC501300
2017,0,0,873.06,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Salaries and Benefits,501400,General Fund,Neighborhood Community Center,Overtime,2016  -  2017,FY2017PRG40123FND101DEP14300ACC501400
2017,7680,7680,0,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Salaries and Benefits,501900,General Fund,Neighborhood Community Center,Other Compensation,2016  -  2017,FY2017PRG40123FND101DEP14300ACC501900
2017,5514,5514,2654.86,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Salaries and Benefits,505100,General Fund,Neighborhood Community Center,Cafeteria Plan,2016  -  2017,FY2017PRG40123FND101DEP14300ACC505100
2017,495,495,2448.42,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Salaries and Benefits,505200,General Fund,Neighborhood Community Center,Medicare,2016  -  2017,FY2017PRG40123FND101DEP14300ACC505200
2017,59640,59640,40364.45,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Salaries and Benefits,505300,General Fund,Neighborhood Community Center,Retirement,2016  -  2017,FY2017PRG40123FND101DEP14300ACC505300
2017,1025,1025,1175.54,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Salaries and Benefits,505500,General Fund,Neighborhood Community Center,Professional Development,2016  -  2017,FY2017PRG40123FND101DEP14300ACC505500
2017,1350,1350,1079.96,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Maintenance and Operations,510100,General Fund,Neighborhood Community Center,Stationery and Office,2016  -  2017,FY2017PRG40123FND101DEP14300ACC510100
2017,11315,5290,5384.15,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Maintenance and Operations,510300,General Fund,Neighborhood Community Center,Small Tools and Equipment,2016  -  2017,FY2017PRG40123FND101DEP14300ACC510300
2017,800,800,165.52,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Maintenance and Operations,510500,General Fund,Neighborhood Community Center,Safety and Health,2016  -  2017,FY2017PRG40123FND101DEP14300ACC510500
2017,250,250,1910.21,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Maintenance and Operations,510600,General Fund,Neighborhood Community Center,Maintenance and Construction,2016  -  2017,FY2017PRG40123FND101DEP14300ACC510600
2017,42000,42000,31207.71,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Maintenance and Operations,515100,General Fund,Neighborhood Community Center,Electricity - Buildings & Fac.,2016  -  2017,FY2017PRG40123FND101DEP14300ACC515100
2017,3000,3000,1100.78,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Maintenance and Operations,515400,General Fund,Neighborhood Community Center,Gas,2016  -  2017,FY2017PRG40123FND101DEP14300ACC515400
2017,10000,10000,11074.98,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Maintenance and Operations,515500,General Fund,Neighborhood Community Center,Water - Domestic,2016  -  2017,FY2017PRG40123FND101DEP14300ACC515500
2017,25857,32961,29844.64,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Maintenance and Operations,515800,General Fund,Neighborhood Community Center,Janitorial and Housekeeping,2016  -  2017,FY2017PRG40123FND101DEP14300ACC515800
2017,0,0,19.06,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Maintenance and Operations,520100,General Fund,Neighborhood Community Center,Postage,2016  -  2017,FY2017PRG40123FND101DEP14300ACC520100
2017,1600,1600,2812.21,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Maintenance and Operations,520400,General Fund,Neighborhood Community Center,Telephone/Radio/Communications,2016  -  2017,FY2017PRG40123FND101DEP14300ACC520400
2017,0,0,22.46,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Maintenance and Operations,520600,General Fund,Neighborhood Community Center,Mileage Reimbursement,2016  -  2017,FY2017PRG40123FND101DEP14300ACC520600
2017,750,750,155.52,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Maintenance and Operations,525700,General Fund,Neighborhood Community Center,Office Equipment,2016  -  2017,FY2017PRG40123FND101DEP14300ACC525700
2017,2850,1780,1674.42,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Maintenance and Operations,525800,General Fund,Neighborhood Community Center,Other Equipment,2016  -  2017,FY2017PRG40123FND101DEP14300ACC525800
2017,6000,6000,7281.24,Leisure and Community Svcs,Community Facilities,101,Parks and Community Services,14300,Recreation Division,40123,Maintenance and Operations,540700,General Fund,Neighborhood Community Center,Taxes and Assessments,2016  -  2017,FY2017PRG40123FND101DEP14300ACC540700
2017,39640,39640,39393.44,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Salaries and Benefits,501200,General Fund,Aquatics,Regular Salaries - Non-Sworn,2016  -  2017,FY2017PRG40212FND101DEP14300ACC501200
2017,114812,114812,102112.18,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Salaries and Benefits,501300,General Fund,Aquatics,Regular Salaries - Part-Time,2016  -  2017,FY2017PRG40212FND101DEP14300ACC501300
2017,0,0,2786.02,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Salaries and Benefits,501400,General Fund,Aquatics,Overtime,2016  -  2017,FY2017PRG40212FND101DEP14300ACC501400
2017,0,0,152.44,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Salaries and Benefits,501700,General Fund,Aquatics,Holiday Allowance,2016  -  2017,FY2017PRG40212FND101DEP14300ACC501700
2017,3840,3840,0,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Salaries and Benefits,501900,General Fund,Aquatics,Other Compensation,2016  -  2017,FY2017PRG40212FND101DEP14300ACC501900
2017,8271,8271,8556.21,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Salaries and Benefits,505100,General Fund,Aquatics,Cafeteria Plan,2016  -  2017,FY2017PRG40212FND101DEP14300ACC505100
2017,575,575,2119.84,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Salaries and Benefits,505200,General Fund,Aquatics,Medicare,2016  -  2017,FY2017PRG40212FND101DEP14300ACC505200
2017,27539,27539,21982.25,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Salaries and Benefits,505300,General Fund,Aquatics,Retirement,2016  -  2017,FY2017PRG40212FND101DEP14300ACC505300
2017,3495,3495,3075,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Salaries and Benefits,505500,General Fund,Aquatics,Professional Development,2016  -  2017,FY2017PRG40212FND101DEP14300ACC505500
2017,500,0,0,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Maintenance and Operations,510100,General Fund,Aquatics,Stationery and Office,2016  -  2017,FY2017PRG40212FND101DEP14300ACC510100
2017,300,800,514,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Maintenance and Operations,510200,General Fund,Aquatics,"Multi-Media, Promos, Subscrpt.",2016  -  2017,FY2017PRG40212FND101DEP14300ACC510200
2017,1868,22693,4289.77,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Maintenance and Operations,510300,General Fund,Aquatics,Small Tools and Equipment,2016  -  2017,FY2017PRG40212FND101DEP14300ACC510300
2017,2800,2800,1481.05,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Maintenance and Operations,510400,General Fund,Aquatics,Uniforms and Clothing,2016  -  2017,FY2017PRG40212FND101DEP14300ACC510400
2017,1360,1360,696.57,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Maintenance and Operations,510500,General Fund,Aquatics,Safety and Health,2016  -  2017,FY2017PRG40212FND101DEP14300ACC510500
2017,500,4000,2686.98,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Maintenance and Operations,510600,General Fund,Aquatics,Maintenance and Construction,2016  -  2017,FY2017PRG40212FND101DEP14300ACC510600
2017,200,200,0,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Maintenance and Operations,520300,General Fund,Aquatics,Advertising and Public Info.,2016  -  2017,FY2017PRG40212FND101DEP14300ACC520300
2017,300,300,90.72,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Maintenance and Operations,525100,General Fund,Aquatics,Buildings and Structures,2016  -  2017,FY2017PRG40212FND101DEP14300ACC525100
2017,375,375,229,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Maintenance and Operations,530600,General Fund,Aquatics,Medical and Health Inspection,2016  -  2017,FY2017PRG40212FND101DEP14300ACC530600
2017,2718,2218,0,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Maintenance and Operations,530800,General Fund,Aquatics,Recreation,2016  -  2017,FY2017PRG40212FND101DEP14300ACC530800
2017,200,200,150,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40212,Maintenance and Operations,535400,General Fund,Aquatics,External Rent,2016  -  2017,FY2017PRG40212FND101DEP14300ACC535400
2017,24000,24000,22630.9,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40213,Maintenance and Operations,515200,General Fund,Tennis,Electricity - Power,2016  -  2017,FY2017PRG40213FND101DEP14300ACC515200
2017,1575,1575,2126.05,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40213,Maintenance and Operations,515500,General Fund,Tennis,Water - Domestic,2016  -  2017,FY2017PRG40213FND101DEP14300ACC515500
2017,750,750,0,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40213,Maintenance and Operations,535400,General Fund,Tennis,External Rent,2016  -  2017,FY2017PRG40213FND101DEP14300ACC535400
2017,275,275,41.28,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40213,Maintenance and Operations,540700,General Fund,Tennis,Taxes and Assessments,2016  -  2017,FY2017PRG40213FND101DEP14300ACC540700
2017,4737,4737,5189.09,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40214,Salaries and Benefits,501200,General Fund,Adult Sports Basketball,Regular Salaries - Non-Sworn,2016  -  2017,FY2017PRG40214FND101DEP14300ACC501200
2017,2844,2844,2372.95,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40214,Salaries and Benefits,501300,General Fund,Adult Sports Basketball,Regular Salaries - Part-Time,2016  -  2017,FY2017PRG40214FND101DEP14300ACC501300
2017,0,0,188.41,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40214,Salaries and Benefits,501400,General Fund,Adult Sports Basketball,Overtime,2016  -  2017,FY2017PRG40214FND101DEP14300ACC501400
2017,0,0,258.96,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40214,Salaries and Benefits,501900,General Fund,Adult Sports Basketball,Other Compensation,2016  -  2017,FY2017PRG40214FND101DEP14300ACC501900
2017,1103,1103,1140.83,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40214,Salaries and Benefits,505100,General Fund,Adult Sports Basketball,Cafeteria Plan,2016  -  2017,FY2017PRG40214FND101DEP14300ACC505100
2017,69,69,118.01,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40214,Salaries and Benefits,505200,General Fund,Adult Sports Basketball,Medicare,2016  -  2017,FY2017PRG40214FND101DEP14300ACC505200
2017,1347,1347,1564.14,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40214,Salaries and Benefits,505300,General Fund,Adult Sports Basketball,Retirement,2016  -  2017,FY2017PRG40214FND101DEP14300ACC505300
2017,50,50,0,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40214,Maintenance and Operations,510100,General Fund,Adult Sports Basketball,Stationery and Office,2016  -  2017,FY2017PRG40214FND101DEP14300ACC510100
2017,300,300,276.18,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40214,Maintenance and Operations,510300,General Fund,Adult Sports Basketball,Small Tools and Equipment,2016  -  2017,FY2017PRG40214FND101DEP14300ACC510300
2017,1800,1800,1294.58,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40214,Maintenance and Operations,510400,General Fund,Adult Sports Basketball,Uniforms and Clothing,2016  -  2017,FY2017PRG40214FND101DEP14300ACC510400
2017,14720,11720,7825,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40214,Maintenance and Operations,530800,General Fund,Adult Sports Basketball,Recreation,2016  -  2017,FY2017PRG40214FND101DEP14300ACC530800
2017,4737,4737,5189.09,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40215,Salaries and Benefits,501200,General Fund,Adult Sports Softball,Regular Salaries - Non-Sworn,2016  -  2017,FY2017PRG40215FND101DEP14300ACC501200
2017,0,0,188.41,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40215,Salaries and Benefits,501400,General Fund,Adult Sports Softball,Overtime,2016  -  2017,FY2017PRG40215FND101DEP14300ACC501400
2017,0,0,258.96,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40215,Salaries and Benefits,501900,General Fund,Adult Sports Softball,Other Compensation,2016  -  2017,FY2017PRG40215FND101DEP14300ACC501900
2017,1103,1103,1140.83,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40215,Salaries and Benefits,505100,General Fund,Adult Sports Softball,Cafeteria Plan,2016  -  2017,FY2017PRG40215FND101DEP14300ACC505100
2017,69,69,98.1,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40215,Salaries and Benefits,505200,General Fund,Adult Sports Softball,Medicare,2016  -  2017,FY2017PRG40215FND101DEP14300ACC505200
2017,1240,1240,1426.68,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40215,Salaries and Benefits,505300,General Fund,Adult Sports Softball,Retirement,2016  -  2017,FY2017PRG40215FND101DEP14300ACC505300
2017,33157,33157,36321.79,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40216,Salaries and Benefits,501200,General Fund,Fields/Field Ambassadors,Regular Salaries - Non-Sworn,2016  -  2017,FY2017PRG40216FND101DEP14300ACC501200
2017,195489,195489,153564.96,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40216,Salaries and Benefits,501300,General Fund,Fields/Field Ambassadors,Regular Salaries - Part-Time,2016  -  2017,FY2017PRG40216FND101DEP14300ACC501300
2017,0,0,1319.03,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40216,Salaries and Benefits,501400,General Fund,Fields/Field Ambassadors,Overtime,2016  -  2017,FY2017PRG40216FND101DEP14300ACC501400
2017,7680,7680,1812.8,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40216,Salaries and Benefits,501900,General Fund,Fields/Field Ambassadors,Other Compensation,2016  -  2017,FY2017PRG40216FND101DEP14300ACC501900
2017,7720,7720,7985.89,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40216,Salaries and Benefits,505100,General Fund,Fields/Field Ambassadors,Cafeteria Plan,2016  -  2017,FY2017PRG40216FND101DEP14300ACC505100
2017,481,481,3437.55,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40216,Salaries and Benefits,505200,General Fund,Fields/Field Ambassadors,Medicare,2016  -  2017,FY2017PRG40216FND101DEP14300ACC505200
2017,73301,73301,53946.82,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40216,Salaries and Benefits,505300,General Fund,Fields/Field Ambassadors,Retirement,2016  -  2017,FY2017PRG40216FND101DEP14300ACC505300
2017,500,1400,1540,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40216,Salaries and Benefits,505500,General Fund,Fields/Field Ambassadors,Professional Development,2016  -  2017,FY2017PRG40216FND101DEP14300ACC505500
2017,200,200,0,Leisure and Community Svcs,Community Programs,101,Parks and Community Services,14300,Recreation Division,40216,Maintenance and Operations,510100,General Fund,Fields/Field Ambassadors,Stationery and Office,2016  -  2017,FY2017PRG40216FND101DEP14300ACC510100
